"rules" "support" "confidence" "coverage" "lift" "count"
"2708" "{Atasan Kaos Putih,Tas Ransel Mini} => {Dompet STNK Gantungan}" 0.0272463768115942 0.770491803278688 0.0353623188405797 7.8182256509161 94
"872" "{Baju Batik Wanita,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00869565217391304 0.9375 0.00927536231884058 7.73773923444976 30
"851" "{Flat Shoes Ballerina,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00376811594202899 0.928571428571429 0.00405797101449275 7.66404647983595 13
"852" "{Celana Pendek Casual,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00376811594202899 0.928571428571429 0.00405797101449275 7.66404647983595 13
"1078" "{Celana Panjang Format Hitam,Tas Ransel Mini} => {Cream Whitening}" 0.00376811594202899 0.5 0.00753623188405797 7.63274336283186 13
"1081" "{Blouse Denim,Celana Panjang Format Hitam} => {Cream Whitening}" 0.00347826086956522 0.5 0.00695652173913044 7.63274336283186 12
"1084" "{Celana Panjang Format Hitam,Hair Dryer} => {Cream Whitening}" 0.00579710144927536 0.5 0.0115942028985507 7.63274336283186 20
"1092" "{Celana Panjang Format Hitam,Shampo Biasa} => {Cream Whitening}" 0.0136231884057971 0.5 0.0272463768115942 7.63274336283186 47
"2542" "{Atasan Kaos Putih,Baju Renang Pria Dewasa} => {Gembok Koper}" 0.0431884057971014 0.851428571428571 0.0507246376811594 7.6099185788305 149
"844" "{Shampo Anti Dandruff,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00318840579710145 0.916666666666667 0.00347826086956522 7.56578947368421 11
"2099" "{Sepatu Sport merk Y,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.0608695652173913 0.950226244343891 0.0640579710144928 7.50178613955704 210
"866" "{Sepatu Sandal Anak,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00666666666666667 0.884615384615385 0.00753623188405797 7.30125138019875 23
"2546" "{Baju Renang Pria Dewasa,Tank Top} => {Gembok Koper}" 0.0423188405797101 0.815642458100559 0.0518840579710145 7.29006860219411 146
"2568" "{Baju Renang Pria Dewasa,Tank Top} => {Atasan Kaos Putih}" 0.0449275362318841 0.865921787709497 0.0518840579710145 7.28641504292138 155
"2628" "{Tank Top,Wedges Hitam} => {Baju Renang Pria Dewasa}" 0.0449275362318841 0.659574468085106 0.0681159420289855 7.27007001563456 155
"2730" "{Sepatu Sport merk Y,Tas Ransel Mini} => {Dompet STNK Gantungan}" 0.0278260869565217 0.716417910447761 0.0388405797101449 7.26953467954346 96
"828" "{Dompet Kulit Pria,Tas Tangan} => {Sepatu Kulit Casual}" 0.00347826086956522 0.545454545454545 0.0063768115942029 7.23776223776224 12
"842" "{Baju Renang Wanita Dewasa,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00405797101449275 0.875 0.00463768115942029 7.22188995215311 14
"177" "{Baju Renang Pria Anak-anak,Celana Jogger Casual} => {Jeans Jumbo}" 0.00550724637681159 0.904761904761905 0.00608695652173913 7.20884196634774 19
"1850" "{Blouse Denim,Serum Vitamin} => {Sepatu Sekolah Hitam W}" 0.0550724637681159 0.513513513513513 0.107246376811594 7.20171390903098 190
"1622" "{Sepatu Sport merk Y,Sunblock Cream} => {Tas Multifungsi}" 0.00405797101449275 0.583333333333333 0.00695652173913044 7.1875 14
"855" "{Dompet Card Holder,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00579710144927536 0.869565217391304 0.00666666666666667 7.17703349282297 20
"2553" "{Baju Renang Pria Dewasa,Wedges Hitam} => {Gembok Koper}" 0.0423188405797101 0.802197802197802 0.0527536231884058 7.16990263622388 146
"875" "{Shampo Biasa,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.0171014492753623 0.867647058823529 0.0197101449275362 7.16120180129468 59
"2987" "{Atasan Kaos Putih,Tank Top} => {Gembok Koper}" 0.0431884057971014 0.801075268817204 0.0539130434782609 7.15986963062009 149
"179" "{Baju Kemeja Putih,Baju Renang Pria Anak-anak} => {Jeans Jumbo}" 0.00492753623188406 0.894736842105263 0.00550724637681159 7.12896560106965 17
"2064" "{Gembok Koper,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.00521739130434783 0.9 0.00579710144927536 7.10526315789474 18
"52" "{Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.0318840579710145 0.859375 0.0371014492753623 7.09292763157895 110
"2122" "{Dompet Flip Cover,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.012463768115942 0.895833333333333 0.0139130434782609 7.07236842105263 43
"2119" "{Hair and Scalp,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.011304347826087 0.573529411764706 0.0197101449275362 7.06670168067227 39
"2121" "{Tas Multifungsi,Tas Travel} => {Tas Sekolah Anak Laki-laki}" 0.0121739130434783 0.893617021276596 0.0136231884057971 7.0548712206047 42
